Rank 2019,Rank 2020,Country,Score 2019,Score 2020,% of Mobiles Infected with Malware,Financial Malware Attacks (% of Users),% of Computers Infected with Malware,% of Telnet Attacks by Originating Country (IoT),% of Attacks by Cryptominers,Best Prepared for Cyberattacks,Most Up-to-Date Legislation
1,1,DZ,55.75,48.99,26.47,0.5,19.75,0.07,1.27,0.262,1
-,1,TJ,-,48.54,2.62,1.4,8.12,0.01,7.9,0.263,2
-,3,TM,-,48.39,4.89,1.1,5.84,0,7.79,0.115,2
-,4,SY,-,44.51,10.15,1.2,13.99,0.01,1.36,0.237,1
9,5,IR,43.29,43.48,52.68,0.8,7.21,3.31,1.43,0.641,2
8,6,BY,45.09,41.64,2.1,2.9,13.34,0.05,2.35,0.578,3
6,7,BD,47.21,40.36,30.94,0.8,16.46,0.38,1.91,0.525,3.5
7,8,PK,47.1,40.33,28.13,0.8,9.96,0.37,2.41,0.407,2.5
5,9,UZ,50.5,39.41,4.14,2.1,10.5,0.02,4.99,0.666,3
4,10,TZ,51,38.72,21.96,0.6,9.41,0.03,4.35,0.642,1.5
14,11,LK,39.59,38.37,16.21,0.5,11.87,0.02,4.62,0.466,3
20,12,EG,38.03,36.4,19.44,0.8,11.39,10.89,1.18,0.842,4
30,13,BR,33.57,36.31,10.53,0.4,11.4,8.56,1.07,0.577,3
3,14,VN,52.44,35.83,5.7,0.5,11.97,3.44,3.72,0.693,2
-,15,BA,-,35.43,5.68,0.7,10.63,0.08,0.72,0.204,2
27,16,TN,35.54,35.07,2.4,0.5,23.26,0.32,1.01,0.536,3
12,17,PE,41.25,34.38,11.17,0.6,12.32,0.19,2.05,0.401,3
15,18,IN,39.3,33.82,28.75,0.4,11.74,3.41,1.75,0.719,3.5
18,19,EC,38.29,33.56,15.38,0.3,9,0.25,1.44,0.367,2
11,20,NG,42.54,31.97,22.46,0.5,10.04,0.08,1.35,0.65,2
2,21,ID,54.89,31.33,23.38,0.9,12.47,1.57,1.76,0.776,4
25,22,MA,36.47,30.6,13.7,0.6,13.35,0.13,0.82,0.429,4
13,23,CN,40.8,28.9,4.73,1.2,9.65,13.78,0.99,0.828,7
16,24,GR,39.06,28.71,2.03,0.4,14.59,3.43,0.69,0.527,4
-,25,KG,-,28.37,1.95,0.6,10.01,0.03,1.05,0.254,4
-,26,KZ,-,28.16,4.08,0.9,9.22,0.22,3.66,0.778,3
17,27,RO,39.02,27.5,5.04,0.3,11.78,0.77,0.25,0.568,2
22,28,ZA,37.16,27.11,3.3,1.9,7.89,2.06,0.83,0.873,3
24,29,PH,36.79,26.87,14.79,0.5,13.71,0.12,0.81,0.643,4
19,30,AZ,38.2,26.57,3.8,0.8,12.74,0.03,1.98,0.653,4
28,31,KR,34.39,25.83,8.28,0.4,8.5,0.5,0.79,0.652,2
-,32,OM,-,25.74,18.07,0.3,11.82,0.04,0.59,0.868,2
-,33,JO,-,25.55,16.6,0.6,9.09,0.66,0.84,0.556,4.5
42,34,MX,27.17,25.22,14.91,0.6,10.14,0.93,0.41,0.629,4
-,35,CL,-,25.02,11.99,0.3,9.34,0.37,0.68,0.47,4
