position,,country,speed
1,- ,Singapore ,218.07
2,- ,Hong Kong (SAR) ,205.69
3,2,RO ,175.39
4,-1,TH ,173.41
5,1,CH ,170.67
6,1,LI ,164.47
7,3,MC ,164.31
8,-4,KR ,159.98
9,-1,FR ,158.44
10,3,HU ,156.66
11,-2,US ,156.61
12,-1,Macau (SAR) ,151.86
13,1,DK ,151.23
14,-2,SE ,150.73
15,1,ES ,145.73
16,1,CA ,140.4
17,1,CN ,139.76
18,1,NO ,137.72
19,2,LU ,135.48
20,2,NZ ,129.97
21,-6,AD ,129.69
22,2,CL ,128.95
23,-3,JP ,127.09
24,-1,TW ,125.46
25,- ,NL ,120.46
26,1,AE ,119.14
27,-1,PT ,117.44
28,- ,LT ,117.13
29,2,KW ,113.12
30,3,IL ,111.32
31,-2,MT ,110.67
32,-2,LV ,107.03
33,1,PL ,106.52
34,-2,DE ,106.41
35,2,FI ,101.92
36,2,PA ,98.59
37,2,SM ,97.48
38,-2,BE ,95.9
39,-4,BB ,95.36
40,- ,QA ,90.8
41,- ,MY ,87.9
42,1,IE ,86.41
43,-1,SK ,84.79
44,7,MD ,81.11
45,5,AT ,80.03
46,-2,SI ,78.52
47,-2,RU ,75.91
48,-2,GB ,72.36
49,- ,EE ,71.21
50,2,BY ,70.84
51,-4,SA ,70.54
52,2,CZ ,67.49
53,- ,BR ,66.73
54,-6,IT ,66.1
55,- ,RS ,64.52
56,- ,TT ,62
57,- ,BG ,60.83
58,- ,JO ,59.97
59,- ,UA ,59.13
60,- ,VN ,55.2
61,1,AU ,54.55
62,-1,UY ,53.57
63,- ,GD ,48.84
64,2,Kosovo ,48.68
65,2,KZ ,47.43
66,-2,ME ,47.17
67,1,GH ,46.65
68,1,AR ,44.28
69,3,MN ,43.62
70,-5,VC ,43.21
71,4,IN ,43.04
72,1,KG ,42.29
73,-2,MX ,42.27
74,-4,BS ,41.69
75,7,PY ,39.99
76,4,CR ,37.72
77,-1,BZ ,37.39
78,-4,LC ,37.39
79,6,HR ,37.2
80,3,AL ,37.11
81,3,CO ,36.63
82,-3,OM ,36.63
83,-2,JM ,35.75
84,4,PE ,35.31
85,16,SC ,34.64
86,- ,BA ,34.43
87,-9,ZA ,33.98
88,1,MG ,33.61
89,2,TJ ,32.61
90,-13,LA ,31.53
91,6,EG ,31.38
92,-5,MK ,31.26
93,-1,DM ,31.2
94,-4,CY ,30.59
95,- ,AM ,30.49
96,2,LK ,30.35
97,-4,UZ ,29.8
98,2,BD ,29.06
99,-5,GR ,28.91
100,-1,TR ,27.95
101,1,IQ ,27.82
102,1,GE ,26.91
103,1,EC ,26.83
104,2,DO ,25.99
105,- ,KN ,25.52
106,2,PH ,25.34
107,-11,GY ,25.19
108,1,KH ,23.63
109,4,CI ,22.84
110,- ,ID ,22.53
111,3,AZ ,22.29
112,23,RW ,22
113,12,MV ,21.95
114,-2,NP ,21.91
115,-4,SN ,21.27
116,2,GA ,20.88
117,- ,MM ,20.87
118,-11,CV ,20.85
119,5,IR ,20.58
120,2,EH ,20.12
121,-6,TG ,19.91
122,-3,MU ,19.8
123,6,FJ ,19.47
124,-8,MA ,19.01
125,1,BO ,18.47
126,-6,LR ,18.26
127,-6,ML ,17.99
128,- ,SO ,17.88
129,1,HN ,17.71
130,2,NI ,17.36
131,-8,AG ,16.85
132,-5,CG ,16.2
133,1,El SV ,16.18
134,4,BT ,16.06
135,-4,PS ,15.52
136,1,KE ,15.23
137,6,TZ ,14.96
138,2,GT ,14.96
139,-6,AO ,14.77
140,1,ZW ,14.74
141,-5,NA ,14.63
142,3,ZM ,14.14
143,- ,GQ ,13.88
144,9,DJ ,13.48
145,-3,SZ ,13.25
146,-7,HT ,13.09
147,16,PG ,13.08
148,-1,NG ,12.61
149,-1,UG ,12.11
150,9,SL ,11.69
151,-2,SR ,11.39
152,-1,MW ,11.16
153,-9,BF ,11.05
154,-8,LY ,10.91
155,-1,CM ,10.27
156,-4,BJ ,10.24
157,- ,LB ,10.24
158,3,CD ,9.82
159,-1,PK ,9.56
160,-5,TN ,9.52
161,-5,BW ,8.81
162,-12,ET ,8.72
163,1,MZ ,8.61
164,-4,SY ,8.25
165,- ,AF ,8.2
166,- ,BI ,7.89
167,-5,GM ,7.79
168,-1,SS ,6.26
169,1,VE ,6.15
170,-2,MR ,5.5
171,- ,Cu ,5.09
172,-3,YE ,4.35
173,-1,DZ ,3.92
174,-1,TM ,3.56
