Rank,ASN,Name,Country,Online,Offline,Average Reaction Time
1,AS52715,AS52715 SCORPION TELECOMUNICACAO RIBEIRAO PR ... ,- BR,0,1,3 minutes
2,AS13022,AS13022 STREAMS_GMBH,- AT,0,1,5 minutes
3,AS22438,AS22438 CLEAR-RATE-COMMUNICATIONS,- US,0,1,7 minutes
4,AS17716,AS17716 NTU-TW National Taiwan University,- TW,0,1,8 minutes
5,AS34243,AS34243 WEBAGE,- GB,0,1,9 minutes
6,AS58966,AS58966 BENCHMARK-AS-IN Benchmark Infotech S ... ,- IN,0,1,10 minutes
7,AS52602,AS52602 SKORPION SISTEMA DE TELECOMUNICACOES ... ,- BR,0,1,10 minutes
8,AS6789,AS6789 CRELCOM-NET,- UA,0,1,11 minutes
9,AS46652,AS46652 SERVERSTACK-ASN,- US,0,4,11 minutes
10,AS16912,AS16912 4-LESS-NETWORK,- US,0,1,11 minutes
11,AS43578,AS43578 BITNAP bitNAP Datacenter 01 Barcelon ... ,- ES,0,1,11 minutes
12,AS263009,AS263009 FORTE TELECOM LTDA.,- BR,0,2,14 minutes
13,AS52078,AS52078 MARTEL,- PL,0,1,14 minutes
14,AS7024,AS7024 PIXELGATE,- US,0,1,14 minutes
15,AS8728,AS8728 Infonet,- EE,0,1,14 minutes
16,AS263891,AS263891 TURBONET INFO E TELECOM,- BR,0,1,14 minutes
17,AS42676,AS42676 SMARTKOM ======Uplinks======,- RU,0,2,15 minutes
18,AS56977,AS56977 ASSTILAR,- RU,0,1,15 minutes
19,AS17739,AS17739 HAPLINK-CN-AP Shanghai Telecom Hapli ... ,- CN,0,1,16 minutes
20,AS268355,AS268355 RESENDE & GONCALVES TELECOM LTDA,- BR,0,2,17 minutes
21,AS42334,AS42334 BBP-AS,- LB,0,2,17 minutes
22,AS133699,AS133699 ZIPTELIT-AS-IN Ziptel IT Solutions P ... ,- IN,0,1,18 minutes
23,AS29953,AS29953 MORNCOMM,- CA,0,1,18 minutes
24,AS202040,AS202040 SCT,- DE,0,1,18 minutes
25,AS270972,AS270972 NET ONE TELECOM LTDA - ME,- BR,0,1,19 minutes
26,AS20926,AS20926 PULSATION-AS,- FR,0,1,19 minutes
27,AS264884,AS264884 BEDINOTO TECNOLOGIA LTDA-ME,- BR,0,1,20 minutes
28,AS263089,AS263089 V de M Vargas,- BR,0,1,20 minutes
29,AS139526,AS139526 REVNBB-AS Revolution Broadband Pvt.l ... ,- IN,0,1,20 minutes
30,AS12296,AS12296 ADANET-,- TR,0,1,20 minutes
31,AS35266,AS35266 EXN-AS,- GB,0,2,20 minutes
32,AS262872,AS262872 DIGICONTROL SERVICOS DE PROVEDORES L ... ,- BR,0,1,20 minutes
33,AS16101,AS16101 ORDIPAT,- FR,0,1,21 minutes
34,AS202223,AS202223 GE-ODREX-AS,- GE,0,1,21 minutes
35,AS270480,AS270480 GTI Telecom,- BR,0,1,21 minutes
36,AS139879,AS139879 GALAXY-AS-AP Galaxy Broadband,- PK,0,1,22 minutes
37,AS268143,AS268143 MOC INTERNET LTDA,- BR,0,1,22 minutes
38,AS138225,AS138225 ONEEIGHT-AS-IN One Eight Technologie ... ,- IN,0,1,22 minutes
39,AS29100,AS29100 BROADCOM,- DK,0,1,23 minutes
40,AS14173,AS14173 PHOTOBUCKET,- US,0,1,23 minutes
41,AS137138,AS137138 SAINTERN-AS S A Internet Solution Pv ... ,- IN,0,1,23 minutes
42,AS3800,AS3800 AS3800,- US,0,1,23 minutes
43,AS204983,AS204983 CYBERFUSION,- NL,0,1,23 minutes
44,AS270668,AS270668 JULIO CESAR BERNARDELI OLIVEIRA 7121 ... ,- BR,0,3,24 minutes
45,AS268248,AS268248 UPNETIX TELECOM,- BR,0,1,24 minutes
46,AS268922,AS268922 MAXUEL QUERINO DA SILVA - ME,- BR,0,1,24 minutes
47,AS2639,AS2639 ZOHO-AS,- US,0,8,25 minutes
48,AS44512,AS44512 KONVERTO-AS,- IT,0,1,26 minutes
49,AS201602,AS201602 WIRTEK,- IT,0,1,26 minutes
50,AS29571,AS29571 ORANGE-COTE-IVOIRE,- CI,0,1,26 minutes
51,AS58715,AS58715 EARTHTELECOMMUNICATION-AS EARTH TELE ... ,- BD,0,1,26 minutes
52,AS137344,AS137344 IDNIC-TRANSTEKNO-AS-ID PT. TRANS NAS ... ,- ID,0,3,26 minutes
53,AS208619,AS208619 BANDAWIFI,- ES,0,1,26 minutes
54,AS38186,AS38186 FTG-AS-AP Forewin Telecom Group Limi ... ,- HK,0,3,27 minutes
55,AS31224,AS31224 MF-UGSM-AS,- RU,0,1,28 minutes
56,AS197495,AS197495 LARSENDATA,- DK,0,1,28 minutes
57,AS52786,AS52786 BrByte Telecom,- BR,0,1,28 minutes
58,AS60819,AS60819 SAFENAMES-AS,- GB,0,1,29 minutes
59,AS270828,AS270828 FULL NET,- BR,0,2,29 minutes
60,AS268072,AS268072 FRANCISCO NICOLAS FUENTES ESPINOSA T ... ,- BR,0,11,29 minutes
61,AS270295,AS270295 MVM INTERNET FIBRA OPTICA,- BR,0,1,29 minutes
62,AS196865,AS196865 AIRCOMM,- IT,0,1,29 minutes
63,AS59671,AS59671 BIT-AS,- UA,0,1,30 minutes
64,AS136665,AS136665 ELLFIBER-AS Ell Innovations Pvt Ltd,- IN,0,2,30 minutes
65,AS270366,AS270366 Jean Franck Ximenes,- BR,0,2,30 minutes
66,AS263469,AS263469 J P de Souza Telecomunicacoes EPP,- BR,0,13,31 minutes
