ASN,name,domains
AS56293,AS56293 Kewiko LLC,11
AS58986,AS58986 IDLE ANTS MEDIA PRIVATE LIMITED,11
AS18918,AS18918 Uno Communications Inc.,11
AS201246,AS201246 AVM Informatique SAS,11
AS59485,AS59485 Vektor-M LTD,11
AS1001,AS1001 GONET,11
AS57478,AS57478 Dariusz Michal Lyczko trading as DAR.NET,11
AS201244,AS201244 Russian Scientific Fund,11
AS13512,AS13512 Monroe Telephone Co.,11
AS395424,"AS395424 LogMeIn, Inc. ",11
AS63758,AS63758 VETC Corporation,11
AS397787,AS397787 Black Oak Casino,11
AS22265,"AS22265 GENESIS SYSTEMS, LLC ",11
AS38245,AS38245 VIETBRANDS COMPANY LIMITED,11
AS4756,AS4756 KCTDI,11
AS22688,AS22688 Dollar General Corporation,11
AS27753,AS27753 Coomeva Cali Principal,11
AS19372,AS19372 ALORICA INC,11
AS52609,AS52609 EVO Networks,11
AS54774,"AS54774 PRINTPACK, Inc. ",11
AS262478,AS262478 AUE Provedor de Internet LTDA.,11
AS34886,AS34886 The Interdisciplinary Center Hertzeliya,11
AS25285,AS25285 Boletin Oficial del Estado,11
AS202234,AS202234 Semantic LLC,11
AS10662,AS10662 Norfolk Southern Corporation,11
AS39214,AS39214 comintech,11
AS19140,AS19140 META-PHARMACEUTICAL-SERVICES,11
AS263582,AS263582 PONTO SAT CONECT EIRELI ME,11
AS17373,AS17373 MCI WorldCom,11
AS11252,AS11252 Idaho State University,11
AS54828,AS54828 SCENTSY,11
AS198239,AS198239 OLLINK SARL,11
AS50697,AS50697 ACSN Limited,11
AS131143,AS131143 Chinatrust Commercial Bank,11
AS25371,"AS25371 Keldysh Institute of Applied Mathematics, Russian Academy of Sciences ",11
AS43601,AS43601 JSC BankCenterCredit,11
AS24575,AS24575 DRAGONLAB,11
AS136956,AS136956 Assistive Networks and technologies Pvt Ltd,11
AS204731,AS204731 Persimmon Homes Ltd.,11
AS30436,AS30436 Elite Broadband LLC,11
AS48256,AS48256 Croatia Osiguranje,11
AS395387,AS395387 Grand and Toy,11
AS265510,AS265510 EJA TELECOMM S DE RL,11
AS54090,AS54090 KONGE TECH CORP,11
AS397264,AS397264 City of London,11
AS6693,AS6693 Universitatea Bucuresti,11
AS48784,AS48784 Russian Project LLC,11
AS48758,AS48758 Fibrenet Ltd,11
AS44974,AS44974 RegioNet Schweinfurt GmbH,11
AS24392,"AS24392 Ankhnet Informations Pvt. Ltd., Internet Service ",11
AS208819,AS208819 Uwe Zillner trading as Zillner IT,11
AS27781,AS27781 SMITCOMS N.V.,11
AS196621,AS196621 Matthias Cramer,11
AS22666,AS22666 Glenbrook High School District,11
AS40122,AS40122 Mortgage Information Services INC,11
AS3968,"AS3968 El Colegio de Mexico, A.C. ",11
AS12484,AS12484 Boris Ltd.,11
AS204733,AS204733 FMI TELECOM S.A.S.U.,11
AS266399,AS266399 CRISTIANO NUNES DA SILVA-ME,11
AS60728,AS60728 Andreas Fink trading as Fink Telecom Services,11
AS19357,AS19357 New Enterprise Stone & Lime Company,11
AS47456,AS47456 Pervaja Baza Ltd.,11
AS33838,AS33838 BetaNET sp. z o.o.,11
AS262596,AS262596 JUNTO TELECOM SERVIÇOS DE TELECOMUNICAÇÕES LTDA,11
AS57982,AS57982 AMIK LLC,11
AS201391,AS201391 Novamedia Holding B.V.,11
AS44003,AS44003 Alfred Talke GmbH & Co.KG,11
AS59700,AS59700 Nordjyllands Trafikselskab,11
AS396358,AS396358 Bellarmine University,11
AS51409,AS51409 sipsynergy Ltd,11
AS27496,"AS27496 VENETIAN CASINO RESORT, LLC ",11
AS43414,AS43414 H2B Assets B.V.,11
AS9122,AS9122 Technoelektroservis Ltd.,11
AS27761,AS27761 Cablenet S.A,11
AS55292,AS55292 BLUE CROSS AND BLUE SHIELD OF IOWA,11
AS210223,AS210223 LMA CJSC,11
AS398375,"AS398375 DATI CLOUD, LLC. ",11
AS54796,AS54796 Enerpac Tool Group Corp.,11
AS394757,AS394757 Parsons Corporation,11
AS55811,AS55811 Countrytell Management Pty Ltd,11
AS38209,"AS38209 CAMINTEL, National Telecommunication Provider, Phnom Penh, Cambodia ",11
AS53195,AS53195 LOGTEL TELECOMUNICACOES E INFORMATICA LTDA ME,11
AS51459,AS51459 Manhattan SAS,11
AS40038,AS40038 Moraine Valley Community College,11
AS265416,AS265416 GETEC TELECOMUNICACOES EIRELI,11
AS46240,AS46240 CampusEAI,11
AS267786,AS267786 UNIVERSAL VIDEO CABLE SRL,11
AS199039,AS199039 CAMPANIACOM SPA,11
AS28521,AS28521 AT&T COMUNICACIONES DIGITALES S DE RL,11
AS56315,AS56315 Ishan's Network - Allocated -Prime,11
AS133360,AS133360 PT Awinet Global Mandiri,11
AS26802,AS26802 Ontario Telemedicine Network,11
AS18402,AS18402 NATIONAL LIBRARY BOARD,11
AS262463,AS262463 TELECOM CORDEIROPOLIS LTDA - ME,11
AS49620,AS49620 Golden Links LLC,11
AS32932,"AS32932 Covius Shared Services, LLC ",11
AS200672,AS200672 PC Land Kopec Artur,11
AS33541,AS33541 Cable Cable Inc,11
AS56812,AS56812 CHP Zarko Alexandr Ivanovich,11
AS26333,AS26333 University of New Orleans,11
AS40706,AS40706 QTO,11
AS265252,AS265252 D1 Telecomunicacoes Ltda,11
AS35874,AS35874 Kalamazoo RESA,11
AS58022,AS58022 A.G.E. NETWORKS SISTEMS S.R.L.,11
AS198040,AS198040 CHOJNET Maciej Szypryt,11
AS45276,AS45276 NReach Net (Pvt.) Ltd,11
AS51280,AS51280 Parsian Electronic Commerce Company PLC,11
AS32485,AS32485 A.C. Moore Incorporated,11
AS262719,AS262719 Microdata de Lucélia Serviços de Provedores Ltda,11
AS396503,AS396503 WestConnect Communications,11
AS57968,AS57968 Ministry of Foreign Affairs of Saudi Arabia,11
AS48462,AS48462 Neocom LLC,11
AS43591,AS43591 AddSecure AB,11
AS14238,AS14238 Innovative Networks LLC,11
AS47906,AS47906 Ensono Ltd,11
AS198073,AS198073 MAZOVIA Investment Sp. z o.o.,11
AS34967,AS34967 DRD Communications Limited,11
AS23948,AS23948 Global Inti Corporatama PT.,11
AS208377,AS208377 SECOMEA A/S,11
AS262178,AS262178 Pontificia Universidad Catolica Madre y Maestra (PUCMM),11
AS33948,AS33948 SC REXNET SRL,11
AS59525,AS59525 Siberian generating company Limited liability company,11
AS54619,AS54619 GROUP HEALTH COOPERATIVE OF SOUTH CENTRAL WISCONSIN,11
AS40861,AS40861 Paradise Networks LLC,11
AS8104,AS8104 Pentagon Federal Credit Union,11
AS8444,AS8444 Henderson Administration Limited,11
AS44383,AS44383 KP CIC Kharkov,11
AS204272,AS204272 ASARTA LLC,11
AS34077,AS34077 Aikotech LTD,11
AS200602,AS200602 GBN.PL Sp. z o.o.,11
AS53088,AS53088 FORNET COMUNICACOES LTDA,11
AS35450,AS35450 Dainet Telecom SRL,11
AS29187,AS29187 TOV ORTA Polesye,11
AS198128,AS198128 Connecting Project s.r.l.,11
AS393900,"AS393900 In-Q-Tel, Inc. ",11
AS54577,"AS54577 NextGen Healthcare Information Systems, LLC. ",11
AS41366,AS41366 KOMAX OOD,11
AS36390,AS36390 Cuyahoga Community College,11
AS32278,AS32278 Getwireless.net,11
AS31720,AS31720 CJSC EngiNet,11
AS131342,AS131342 Vietnam Technological and Commercial Joint-stock Bank - Techcombank,11
AS200594,AS200594 SOFT PARTNER SZCZYPIORSKI SPOLKA JAWNA,11
AS27298,AS27298 REACH4 Communications,11
AS49027,AS49027 Turkiye Sinai Kalkinma Bankasi Anonim Sirketi,11
AS133272,AS133272 Sphier Infotech Private Limited,11
AS136130,AS136130 Pemerintah Kabupaten Tegal,11
AS202742,AS202742 NAYS TRADE EOOD,11
AS48172,AS48172 Inter Telecom O.E.,11
AS61920,AS61920 Link Explorer,11
AS57894,AS57894 FOP Leonova Yliya Olexandrivna,11
AS31915,AS31915 Mojo Broadband,11
AS205877,AS205877 TURUNCUNET ILETISIM SAN. TIC. LTD. STI.,11
AS138329,AS138329 Kenstar Web Solutions Private Limited,11
AS205968,AS205968 GeneralNet s.r.o.,11
AS395289,AS395289 Kentucky Farm Bureau Mutual Insurance,11
AS39204,AS39204 Axima AB,11
AS53988,AS53988 Digi Desert LLC,11
AS35597,AS35597 IQUEST TECHNOLOGIES SRL,11
AS30031,AS30031 Mimecast North America Inc,11
AS131628,"AS131628 Tai-Fu Cloud Co., Ltd. ",11
AS49979,AS49979 LA Wireless Srl,11
AS196628,AS196628 EUROLINK CONNECT LIMITED,11
AS63389,AS63389 Rader Solutions,11
AS263738,AS263738 GRUPO EL COMERCIO,11
AS20405,"AS20405 Eplica, Inc. ",11
AS27697,AS27697 NITNET INFORMATICA S/C LTDA.,11
AS41329,AS41329 SkyMobile LTD,11
AS19919,"AS19919 VA SkyWire, LLC ",11
AS263616,AS263616 Dez Solucoes em Telecomunicacoes LTDA,11
AS26462,AS26462 SUNY Geneseo Computer Center,11
AS15923,AS15923 Logos S.P.A.,11
AS42410,AS42410 Point To Point Ltd.,11
AS200167,AS200167 Reprotechnik Kloten AG,11
AS32845,"AS32845 Tel-Star Communications, Inc ",11
AS63508,AS63508 PT DINAMIKA MEDIAKOM,11
AS267363,AS267363 LINK TELECOMUNICAÇÕES LTDA,11
AS25640,AS25640 Hawaii Department of Education,11
AS7733,AS7733 Frazier Mountain Internet Service,11
AS58682,AS58682 Level3 Carrier Ltd.,11
AS197503,AS197503 Sptelek Sp. z o.o.,11
AS29110,AS29110 Institut Pasteur,11
AS44457,AS44457 Lovenskiold Handel AS,11
AS49171,AS49171 Hypermedia SRL,11
AS9462,AS9462 BOLEHNET-ASN,11
AS42930,AS42930 Modem Ltd.,11
AS265819,AS265819 Ricardo Julio Goncalves,11
AS264759,AS264759 PERGAMINO CELP INFRACOM S.A.,11
AS43001,AS43001 ZAO Domodedodvo International Airport,11
AS397554,AS397554 Happy Cycling LLC,11
AS35416,AS35416 CROATIA AIRLINES D.D.,11
AS395475,AS395475 SnowCloud Services LLC,11
AS208929,AS208929 NT Neue Technologie AG,11
AS327737,AS327737 Custom Solutions Business Trust,11
AS203769,AS203769 Cooperatie KIEN u.a.,11
AS16331,AS16331 Tele-entre Oy,11
AS23584,"AS23584 PUSAN CABLE TV SYSTEM CO., LTD. ",11
AS17181,AS17181 The Calgary Airport Authority,11
AS20698,AS20698 LLC Avtodor-Telecom,11
AS167,AS167 Wesleyan University,11
AS138218,AS138218 ABOITIZ EQUITY VENTURES INC.,11
AS23988,AS23988 PLDT GLOBAL Corp. Internet-based Services AP,11
AS265758,AS265758 COOPERATIVA DE OBRAS Y SERVICIOS PUBLICOS DE DESPENADEROS LIMITADA,11
AS29144,AS29144 Borsa Istanbul A.S.,11
AS206301,AS206301 LLC IT Expert,11
AS17300,AS17300 ISM Canada,11
AS38730,AS38730 VIETINBANK-VN,11
